T,t,strength_result1,strength_result2,strength_result3,modulus_result1,modulus_result2,modulus_result3,elongation_result1,elongation_result2,elongation_result3,tg_result1,tg_result2,tg_result3
0.0,0.0,113.97270941715948,125.03978853447992,111.12913048505821,4337.524657793154,4230.143475844809,4400.504211048736,3.482716019149075,5.118255451020255,3.4418010575317135,121.74371104718932,122.23017465214289,126.6376960654253
0.0,0.01,114.18280696966002,125.70306907582741,111.78717038639928,4347.432051856653,4237.870066776872,4408.640595224766,3.497836934051132,5.16276851270034,3.492848728705784,121.85394037587253,122.52306548862435,126.8804992250243
0.0,0.02,114.37719356098646,126.35179384871326,112.43907424305323,4357.04347617882,4245.4463194532655,4416.409343056366,3.5123891723511305,5.206486902090964,3.544507735131857,121.95633171596401,122.80839695223611,127.1154398842846
0.0,0.03,114.55641369812821,126.98574263663173,113.08486140305169,4366.354649290206,4252.874206766515,4423.808771339402,3.526397784427083,5.249386720859634,3.5967790924131595,122.05103491104768,123.08610314478793,127.3424975340115
0.0,0.04,114.72106519404176,127.60471065058164,113.72455696981388,4375.361347641767,4260.15571380184,4430.837586638889,3.5398907909305084,5.291445244728972,3.649662230402409,122.13821140264207,123.35612168932789,127.56165282137661
0.0,0.05,114.87179806482189,128.20850877457946,114.35819104677705,4384.059418594059,4267.292830516475,4437.494902558923,3.5528991338465197,5.332640949944323,3.7031548243403627,122.21803403815707,123.61839391853812,127.77288726942345
0.0,0.06,115.00931307564184,128.796963751173,114.9857979693089,4392.44479449647,4274.287544405954,4443.780256198104,3.565456606081364,5.372953532572936,3.757252627382079,122.2906868258284,123.8728650672441,127.97618300888598
0.0,0.07,115.13435993573961,129.369918307352,115.60741553836884,4400.513507809017,4281.141833168069,4449.693623573212,3.5775997594240483,5.41236392078087,3.8119493069006913,122.35636463665392,124.11948446805079,128.17152252968992
0.0,0.08,115.24773514603791,129.9272312218882,116.22308427075323,4408.261707204612,4287.857657372941,4455.235433787542,3.5893677909277732,5.450854280335913,3.867236287073789,122.41527285377126,124.35820574898375,128.35888845979372
0.0,0.09,115.35027950610746,130.46877733572302,116.83284668055941,4415.685674575674,4294.436953145745,4460.40658171621,3.600802407946441,5.488408013678724,3.9231026003116547,122.4676269701333,124.58898703187225,128.5382633791063
