iteration,metric,mean,std,min,max,median,q25,q75
0,hypervolume,0.21666959106626799,0.6415494464148477,0.0,2.1411826433235195,0.0,0.0,0.0
0,fit_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,optimize_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,reinit_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,batch_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,hypervolume,4.506860336298061,7.650258913213495,0.0,25.830010796459952,2.2554891766086462,0.0,2.369795709893773
1,fit_time,0.0375000000003638,0.010413932973498626,0.030999999999039574,0.06299999999828287,0.031500000002779416,0.03099999999994907,0.04249999999956344
1,optimize_time,1.3857999999992898,0.14341324903957328,1.1879999999982829,1.6090000000003783,1.3830000000016298,1.2689999999993233,1.5229999999983193
1,reinit_time,0.001599999999962165,0.004799999999886495,0.0,0.01599999999962165,0.0,0.0,0.0
1,batch_time,1.424899999999616,0.1456574405929828,1.2190000000009604,1.6570000000028813,1.4215000000003783,1.3039999999982683,1.5619999999971697
2,hypervolume,18.109373821758417,14.754519602623803,0.0,38.79360457772751,22.543852478652905,2.369795709893773,27.651301178546838
2,fit_time,0.036000000000785806,0.007000000000230751,0.030999999999039574,0.0470000000022992,0.03200000000106229,0.03099999999994907,0.04249999999956344
2,optimize_time,1.4827999999990424,0.22113923215909478,1.2340000000003783,1.9219999999986612,1.4214999999985594,1.31224999999813,1.6567499999991924
2,reinit_time,0.001599999999962165,0.004799999999886495,0.0,0.01599999999962165,0.0,0.0,0.0
2,batch_time,1.5203999999997904,0.22002917988298812,1.2660000000032596,1.9530000000013388,1.4604999999992287,1.3472499999979846,1.6954999999979918
3,hypervolume,21.70117042819665,17.003836073916297,0.0,43.24990375219581,26.782319251229335,2.369795709893773,37.02847087634876
3,fit_time,0.042100000000937145,0.007272551134716831,0.030999999999039574,0.0470000000022992,0.04700000000048021,0.03475000000162254,0.0470000000022992
3,optimize_time,1.5453999999994266,0.15926656899684694,1.3129999999982829,1.9059999999990396,1.5229999999992287,1.4527499999985594,1.6022500000008222
3,reinit_time,0.00319999999992433,0.00639999999984866,0.0,0.01599999999962165,0.0,0.0,0.0
3,batch_time,1.5907000000002882,0.15273771636393052,1.360000000000582,1.9370000000017171,1.5625,1.5114999999996144,1.6369999999997162
4,hypervolume,33.89370867168286,13.997236850861029,0.0,49.90920390193338,36.49497951742502,28.50071869245738,44.2743390719892
4,fit_time,0.03740000000034342,0.007644605940814882,0.030999999999039574,0.0470000000022992,0.031500000002779416,0.03099999999994907,0.04674999999861029
4,optimize_time,1.7155999999999039,0.3025948446354813,1.264999999999418,2.360000000000582,1.6560000000008586,1.534999999998945,1.8867499999987558
4,reinit_time,0.00319999999992433,0.00639999999984866,0.0,0.01599999999962165,0.0,0.0,0.0
4,batch_time,1.7562000000001716,0.29988557817964595,1.3119999999980791,2.4069999999992433,1.694999999999709,1.570000000001528,1.9185000000006767
5,hypervolume,38.39264447245806,13.903870421866332,2.369795709893773,51.241528494104024,44.76076177902914,36.514190439908305,46.92354236993334
5,fit_time,0.037299999999595455,0.007523961722356903,0.030999999999039574,0.0470000000022992,0.031500000000960426,0.030999999999039574,0.0459999999984575
5,optimize_time,2.1017000000003465,0.3634094247540478,1.5159999999996217,2.687999999998283,1.9920000000001892,1.9690000000009604,2.430000000000291
5,reinit_time,0.001599999999962165,0.004799999999886495,0.0,0.01599999999962165,0.0,0.0,0.0
5,batch_time,2.140599999999904,0.36851029836362054,1.5469999999986612,2.735000000000582,2.0384999999987485,2.0,2.472999999999047
6,hypervolume,45.70307737511582,7.9364506611510555,26.195698807576996,53.54291966666774,46.859274386810625,46.23771658251945,51.50202814981404
6,fit_time,0.04220000000059372,0.0071246052516010985,0.031000000002677552,0.0470000000022992,0.046999999998661224,0.03549999999904685,0.04700000000138971
6,optimize_time,2.220199999999386,0.5230800703523092,1.5780000000013388,3.0940000000009604,2.062499999998181,1.8199999999987995,2.7064999999993233
6,reinit_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,batch_time,2.2639999999999416,0.527446679769203,1.625,3.1410000000032596,2.1015000000006694,1.8550000000013824,2.7617499999978463
7,hypervolume,48.827811921204145,5.017495232080284,38.103129730906495,53.9000806863301,49.77591772244244,47.41428149663555,53.08415927848877
7,fit_time,0.040600000000267755,0.007644605941680998,0.030999999999039574,0.0470000000022992,0.04649999999855936,0.03125000000181899,0.04700000000138971
7,optimize_time,2.217300000000614,0.4028369521284746,1.625,2.9530000000013388,2.1014999999988504,1.9842500000004293,2.4887500000022555
7,reinit_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,batch_time,2.2579000000008818,0.4024739618912434,1.6569999999992433,3.0,2.14049999999952,2.03125,2.52375000000211
8,hypervolume,50.503150655372714,3.8975199983884634,43.29664332074775,55.14003780634596,51.682829131655964,47.65815898156475,53.533485663963326
8,fit_time,0.042099999999118155,0.007272551134291632,0.030999999999039574,0.0470000000022992,0.046999999998661224,0.034749999998894054,0.046999999998661224
8,optimize_time,2.4952999999997703,0.4605218887299425,1.7820000000028813,3.4840000000003783,2.5384999999987485,2.167500000000473,2.656749999998283
8,reinit_time,0.0030999999999039574,0.006204030947508122,0.0,0.01599999999962165,0.0,0.0,0.0
8,batch_time,2.5404999999987923,0.46188835230965064,1.8280000000013388,3.5309999999990396,2.5854999999974098,2.218499999999949,2.698999999996886
9,hypervolume,52.071849431829534,2.496668462119067,48.081529121775006,55.826791949624536,52.080714978758486,50.371973658762684,54.278010011213574
